"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
53, 4.331099987030000e-01, -5.659141825851464e-02, 5.263359797827757e-01, 1.437058884236313e+03, 6.484409522970098e+01, 2.731474505825116e+06, 3.062696293094920e+05, 2.027081542632617e+03, 3.028089635349706e+00, 2.889494615057515e-02, 2.730307141133316e+03, 1.231990548251381e+02
54, 4.174999892710000e-01, -5.729416860686566e-02, 5.391569145678663e-01, 1.467333728457983e+03, 6.056971093767728e+01, 2.793947720859342e+06, 3.175385427144178e+05, 2.051689393580260e+03, 2.999706466694920e+00, 3.048373941199362e-02, 2.721533729441362e+03, 1.123415267449993e+02
55, 4.019699990750000e-01, -5.792324246601335e-02, 5.548059646896927e-01, 1.505355844172886e+03, 5.550713657481997e+01, 2.864723312686739e+06, 3.278818038089974e+05, 2.058763876623611e+03, 2.984976902436199e+00, 3.194202584455921e-02, 2.713301478319260e+03, 1.000478367348944e+02
56, 3.865399956700000e-01, -5.847520956655861e-02, 5.723321611374740e-01, 1.549119967011561e+03, 4.917529484863407e+01, 2.954147311188412e+06, 3.422195062734774e+05, 2.082988895614098e+03, 2.959806254398738e+00, 3.396348472362305e-02, 2.706679918061538e+03, 8.592090081204118e+01
57, 3.712300062180000e-01, -5.894684318665333e-02, 5.858188272119365e-01, 1.578687850154786e+03, 4.299222694235058e+01, 3.019011425268072e+06, 3.561113971500228e+05, 2.117643714428757e+03, 2.922258515387763e+00, 3.592208905572913e-02, 2.694839730003508e+03, 7.338826433244171e+01
58, 3.560400009160000e-01, -5.933561549045978e-02, 6.049947261621976e-01, 1.627119808078993e+03, 3.482427757419715e+01, 3.120594279274138e+06, 3.726163267253946e+05, 2.145559865160143e+03, 2.896998191177672e+00, 3.824910320050680e-02, 2.689477672641342e+03, 5.756129114563694e+01
59, 3.409900069240000e-01, -5.963847719943702e-02, 6.186019427713819e-01, 1.656456693979754e+03, 2.960050770268757e+01, 3.180495135005350e+06, 3.848018855420066e+05, 2.166986756398989e+03, 2.869862987539133e+00, 3.996713341679976e-02, 2.677742469670734e+03, 4.785065428355289e+01
60, 3.261100053790000e-01, -5.985254444802346e-02, 6.386706644602068e-01, 1.704336836743519e+03, 2.184354106518803e+01, 3.281900414724967e+06, 4.029826060195547e+05, 2.198060681910270e+03, 2.839523348305837e+00, 4.253041570893583e-02, 2.668569157132017e+03, 3.420157254858387e+01
61, 3.113999962810000e-01, -5.997565198183213e-02, 6.616191838395599e-01, 1.757985593365330e+03, 1.212903894584930e+01, 3.391853024573152e+06, 4.224694911255072e+05, 2.224424181880887e+03, 2.810346762170828e+00, 4.527785289563387e-02, 2.657095858622556e+03, 1.833235680298918e+01
62, 2.968699932100000e-01, -6.000550062925582e-02, 6.807909041707031e-01, 1.800581170586476e+03, 3.331685533180822e+00, 3.486572090549754e+06, 4.421767302540078e+05, 2.262624495571125e+03, 2.773605025706646e+00, 4.805635758401294e-02, 2.644837290797578e+03, 4.893845544601206e+00
63, 2.825500071050000e-01, -5.994005483718394e-02, 7.095759132651622e-01, 1.871916201181444e+03, -1.018180985970016e+01, 3.624773087297460e+06, 4.622280388724916e+05, 2.269278334588391e+03, 2.762493303427081e+00, 5.088337229882507e-02, 2.638077429330561e+03, -1.434914808881810e+01
64, 2.684499919410000e-01, -5.977765596976551e-02, 7.281199487874863e-01, 1.909388003896430e+03, -2.061637731067657e+01, 3.717601589287653e+06, 4.855057675909607e+05, 2.322853439981418e+03, 2.714293611018656e+00, 5.416527688004803e-02, 2.622353648016470e+03, -2.831453436347724e+01
65, 2.545700073240000e-01, -5.951657836311273e-02, 7.641988773090013e-01, 1.995658795110383e+03, -3.913481703844881e+01, 3.890912436400813e+06, 5.136558896070197e+05, 2.341511106426939e+03, 2.692566430989890e+00, 5.813413550555421e-02, 2.611439056463630e+03, -5.121025193893968e+01
66, 2.409400045870000e-01, -5.915585896897953e-02, 7.850097731487286e-01, 2.033987798109745e+03, -5.178946344228479e+01, 3.987967017932358e+06, 5.404767505635864e+05, 2.398458997950969e+03, 2.639970168571727e+00, 6.191558289289575e-02, 2.591035000687035e+03, -6.597301742442475e+01
67, 2.275699973110000e-01, -5.869456802648413e-02, 8.298439312440027e-01, 2.145121410478783e+03, -7.433729212774466e+01, 4.200114678900107e+06, 5.696992810176505e+05, 2.391550712042071e+03, 2.638319760903950e+00, 6.603563935252905e-02, 2.584969690943059e+03, -8.957984667828696e+01
68, 2.144699990750000e-01, -5.813197420944613e-02, 8.557104660870997e-01, 2.192144104211186e+03, -9.200085542539603e+01, 4.320034925226292e+06, 6.028764097099301e+05, 2.454323421907997e+03, 2.581723040258836e+00, 7.071325081384935e-02, 2.561782508323389e+03, -1.075140004376569e+02
69, 2.016600072380000e-01, -5.746811193675738e-02, 9.102894577731773e-01, 2.321767314947189e+03, -1.256368682985019e+02, 4.582968634339448e+06, 6.453481260875221e+05, 2.469703888394548e+03, 2.563910185707855e+00, 7.670129725247923e-02, 2.550581350933012e+03, -1.380185909280383e+02
70, 1.891400069000000e-01, -5.670228146432130e-02, 9.395451260126850e-01, 2.373313968289744e+03, -1.497096243202040e+02, 4.720840950103971e+06, 6.845555275576692e+05, 2.538173952585608e+03, 2.506053620426410e+00, 8.222911107224548e-02, 2.526024458624780e+03, -1.593426650570297e+02
71, 1.769299954180000e-01, -5.583513598033686e-02, 9.969608559428060e-01, 2.505812845823355e+03, -1.953617175268987e+02, 4.992705520843910e+06, 7.297778440164005e+05, 2.550016042331390e+03, 2.490382824813596e+00, 8.860496197051926e-02, 2.513451587277876e+03, -1.959572598686927e+02
72, 1.650400012730000e-01, -5.486709202536137e-02, 1.037679716943208e+00, 2.580894240801759e+03, -2.281534507786458e+02, 5.183220899733927e+06, 7.794268784181069e+05, 2.616630478458093e+03, 2.434877896277336e+00, 9.560493157352322e-02, 2.487178074950280e+03, -2.198688545736821e+02
