"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
35, 7.103199958800001e-01, -3.530689307158652e-02, 1.247986699366295e+00, 3.453622350438470e+02, 3.471766976502340e+01, 2.897451675588738e+05, 9.659010644198683e+04, 2.696205766212804e+02, 8.449341504951110e-01, -1.043075137907803e-01, 2.767355094563233e+02, 2.781894212706947e+01
36, 6.958900094030001e-01, -3.674225211597043e-02, 1.242580777382299e+00, 3.460306813393524e+02, 3.405269771858281e+01, 2.886576909753129e+05, 9.600408895837383e+04, 2.691506575516844e+02, 8.508171545726025e-01, -1.172172077479241e-01, 2.784774138131471e+02, 2.740481612014023e+01
37, 6.812700033190000e-01, -3.816515293304169e-02, 1.237108947596300e+00, 3.466706588350996e+02, 3.336140264558689e+01, 2.875550529395519e+05, 9.541283006628817e+04, 2.686761862621220e+02, 8.567368259718071e-01, -1.302423675080150e-01, 2.802264582344829e+02, 2.696723090590205e+01
38, 6.664699912070000e-01, -3.957289370556494e-02, 1.231583573497544e+00, 3.472960179803261e+02, 3.264295760572189e+01, 2.864409645629217e+05, 9.481644595512256e+04, 2.681946622041041e+02, 8.627241542813595e-01, -1.433804334725036e-01, 2.819914339991144e+02, 2.650486601816226e+01
39, 6.514999866490000e-01, -4.096270419333766e-02, 1.225980944940896e+00, 3.479041381819862e+02, 3.189406676910868e+01, 2.853102478031014e+05, 9.421277482816888e+04, 2.677049615617689e+02, 8.687926929768905e-01, -1.566790290223977e-01, 2.837761382977762e+02, 2.601514069262004e+01
40, 6.363800168040000e-01, -4.233084266562091e-02, 1.220291215488631e+00, 3.484923769552111e+02, 3.111416874261776e+01, 2.841606567817062e+05, 9.360101440954370e+04, 2.672067444905022e+02, 8.749461623471328e-01, -1.701558279241192e-01, 2.855813206978364e+02, 2.549733075818216e+01
41, 6.211299896240000e-01, -4.367359094194759e-02, 1.214507688342842e+00, 3.490662613808254e+02, 3.029858219116647e+01, 2.829912484192876e+05, 9.298003468897904e+04, 2.666980134398477e+02, 8.812086226244866e-01, -1.838357237809065e-01, 2.874137930383261e+02, 2.494721316462636e+01
42, 6.057599782940000e-01, -4.498807223669178e-02, 1.208610579318193e+00, 3.496187696320771e+02, 2.944706079814458e+01, 2.817973576791210e+05, 9.234837614542784e+04, 2.661786493816874e+02, 8.875808236754144e-01, -1.977508691659651e-01, 2.892732991211328e+02, 2.436439106362647e+01
43, 5.902799963950000e-01, -4.627132533375768e-02, 1.202600981702487e+00, 3.501567462481028e+02, 2.855428513050843e+01, 2.805798001922198e+05, 9.170556162212539e+04, 2.656467250394597e+02, 8.940856020682391e-01, -2.119117756219954e-01, 2.911661902623729e+02, 2.374377334208139e+01
44, 5.747100114820000e-01, -4.751950934859488e-02, 1.196469703658766e+00, 3.506718587813260e+02, 2.761905404890021e+01, 2.793360216206494e+05, 9.105129994783329e+04, 2.651030899913897e+02, 9.007117250185330e-01, -2.263248575166258e-01, 2.930887908895501e+02, 2.308378888695805e+01
